primaryindex,emt_situac,emt_linha,emt_empres,emt_nome,data_inaug
1,OPERANDO,AZUL,METRO,SÉ,17-02-1978
2,OPERANDO,VERMELHA,METRO,CORINTHIANS-ITAQUERA,10-01-1988
3,OPERANDO,VERMELHA,METRO,ARTUR ALVIM,17-09-1988
4,OPERANDO,VERMELHA,METRO,PATRIARCA,17-09-1988
5,OPERANDO,VERMELHA,METRO,GUILHERMINA-ESPERANÇA,27-08-1988
6,OPERANDO,VERMELHA,METRO,VILA MATILDE,27-08-1988
7,OPERANDO,VERMELHA,METRO,PENHA,31-05-1986
8,OPERANDO,VERMELHA,METRO,CARRÃO,31-05-1986
9,OPERANDO,VERMELHA,METRO,TATUAPÉ,11-05-1981
10,OPERANDO,VERMELHA,METRO,BELÉM,09-05-1981
11,OPERANDO,VERMELHA,METRO,BRESSER-MOOCA,23-08-1980
12,OPERANDO,VERMELHA,METRO,BRÁS,03-10-1979
13,OPERANDO,VERMELHA,METRO,PEDRO II,23-08-1980
14,OPERANDO,VERMELHA,METRO,SÉ,17-02-1978
15,OPERANDO,VERMELHA,METRO,ANHANGABAÚ,26-11-1983
16,OPERANDO,VERMELHA,METRO,REPÚBLICA,24-04-1982
17,OPERANDO,VERMELHA,METRO,SANTA CECÍLIA,12-10-1983
18,OPERANDO,VERMELHA,METRO,MARECHAL DEODORO,17-12-1988
19,OPERANDO,VERMELHA,METRO,PALMEIRAS-BARRA FUNDA,17-12-1988
20,OPERANDO,VERDE,METRO,VILA MADALENA,21-11-1998
21,OPERANDO,VERDE,METRO,SANTUÁRIO NOSSA SENHORA DE FÁTIMA-SUMARÉ,21-11-1998
22,OPERANDO,VERDE,METRO,CLÍNICAS,09-12-1992
23,OPERANDO,VERDE,METRO,CONSOLAÇÃO,25-01-1991
24,OPERANDO,VERDE,METRO,TRIANON-MASP,25-01-1991
25,OPERANDO,VERDE,METRO,BRIGADEIRO,25-01-1991
26,OPERANDO,VERDE,METRO,PARAÍSO,17-02-1975
27,OPERANDO,VERDE,METRO,ANA ROSA,14-02-1975
28,OPERANDO,VERDE,METRO,CHÁCARA KLABIN,05-09-2006
29,OPERANDO,VERDE,METRO,SANTOS-IMIGRANTES,30-03-2006
