Zona ,Nome,População,Escolares,Empregos,Área (ha),Per Capita
1,Sé,0.0207,0.1120,0.7111,0.0027457256120900406,0.2159
2,Parque Dom Pedro,0.0361,0.0252,0.5132,0.005464522916951178,0.2393
3,Praça João Mendes,0.1085,0.0422,0.1836,0.00229611905389316,0.3045
4,Ladeira da Memória,0.1526,0.0198,0.2232,0.0036117592070767594,0.5103
5,República,0.0947,0.0304,0.8856,0.0036040654050113583,0.4287
6,Santa Ifigênia,0.1393,0.0359,0.3798,0.003987793783023242,0.2149
7,Luz,0.1153,0.1209,0.3469,0.007434136245693875,0.2760
8,Bom Retiro,0.0776,0.0577,0.1492,0.006876816458581378,0.2114
9,Ponte Pequena,0.0472,0.1128,0.1632,0.0062406352002985195,0.1929
10,Canindé,0.0103,0.1240,0.0664,0.0039724061788924386,0.1189
11,Bom Jardim,0.0172,0.0259,0.0386,0.0023971002060015506,0.2238
12,Pari,0.0911,0.0339,0.2085,0.00673977060929142,0.2163
13,João Teodoro,0.0091,0.0047,0.0919,0.0018907518575723363,0.1509
14,Oriente,0.0211,0.0345,0.2765,0.0033602680520639586,0.1828
15,Bresser,0.0534,0.0029,0.1403,0.0037016805187161357,0.1976
16,Brás,0.0767,0.0602,0.1829,0.005245249558087244,0.2277
17,Gasômetro,0.0442,0.0968,0.0926,0.0033347823327223173,0.1987
18,Independência,0.1218,0.0662,0.2384,0.01220188921309716,0.3257
19,Cambuci,0.1313,0.0808,0.1628,0.006752753900276785,0.3600
20,Glicério,0.1461,0.0636,0.0807,0.005194278119403961,0.4373
21,Aclimação,0.1184,0.0679,0.0959,0.005463561191693002,0.4386
22,Pires da Mota,0.0863,0.0794,0.0834,0.0024057557333251266,0.4478
23,Centro Cultural,0.0338,0.5819,0.1773,0.0015983873790870922,0.3705
24,Liberdade,0.0723,0.9354,0.1781,0.0028606517804419707,0.3194
25,Treze de Maio,0.1165,0.0706,0.1202,0.0020604963656402496,0.2957
26,Bexiga,0.0904,0.1507,0.1328,0.002488944968157277,0.3740
27,Bela Vista,0.1111,0.2274,0.4439,0.004510491460841433,0.6372
28,São Carlos do Pinhal,0.0574,0.1570,0.2814,0.0014921167380587384,0.4885
29,Masp,0.0839,0.0863,0.4494,0.0027539002767845294,0.6006
30,Higienópolis,0.1232,0.0668,0.1839,0.003260729487842831,0.8219
31,Vila Buarque,0.1269,0.6525,0.2682,0.004307567431366477,0.4681
32,Consolação,0.0542,0.2655,0.4774,0.002751976826268179,0.5728
33,Pacaembu,0.0116,0.0095,0.0309,0.004349402480097096,0.7021
34,FAAP,0.0479,0.0958,0.0986,0.0035800222735569796,1.0000
35,Santa Cecília,0.2535,0.1489,0.3542,0.006928749622522837,0.3488
36,Marechal Deodoro,0.2729,0.1936,0.3279,0.006837866585625285,0.4558
37,Rudge,0.0292,0.0448,0.1882,0.004074349056259005,0.3457
38,Catumbi,0.0240,0.0398,0.0508,0.003916145251289193,0.2532
39,Belém,0.0593,0.0566,0.0886,0.007727943312066382,0.2743
40,Quarta Parada,0.0499,0.1056,0.1747,0.006126189894575678,0.2236
41,Belenzinho,0.1396,0.1359,0.2416,0.008660816812496275,0.2356
