Zona ,Nome,População,Escolares,Empregos,Área (ha),Per Capita,cluster
1,Sé,0.0173870452508439,0.1119536169441203,0.7111104472449034,0.0020282959720741,0.2159291723291332,8
2,Parque Dom Pedro,0.0303553669948252,0.0252176177578406,0.5131878504436643,0.0040366997244572,0.2393463526814016,33
3,Praça João Mendes,0.0913059520230507,0.0421994465545366,0.183560019903036,0.0016961669468746,0.3045386489275447,28
4,Ladeira da Memória,0.1283986485782086,0.0198237805501288,0.2232126148961636,0.0026680439660681,0.5103007343009697,35
5,República,0.0797181394842209,0.0303820156722876,0.8856346091503495,0.0026623604747278,0.4286760225697781,8
6,Santa Ifigênia,0.1172052841875801,0.0358758239382527,0.379760559783834,0.0029458246053259,0.2149315239254964,33
7,Luz,0.097062516238814,0.1209309868368339,0.3468633703318937,0.0054916735075773,0.2759524440520405,33
8,Bom Retiro,0.065305327121097,0.0577126567594378,0.149245818212466,0.0050799756036134,0.2113889155761905,15
9,Ponte Pequena,0.0397418069053744,0.1128327300490133,0.1632223693458798,0.0046100219134112,0.1928684944490472,15
10,Canindé,0.0086295591174839,0.1239992146274375,0.0664351219631454,0.0029344576226453,0.1188626744038603,7
11,Bom Jardim,0.0144607725160007,0.0258875051197336,0.038611614366512,0.0017707627707162,0.22384715430164,27
12,Pari,0.0766532830257104,0.0339269520365019,0.2085061047499656,0.004978738414114,0.2163113568017831,15
13,João Teodoro,0.0076488054705695,0.0046751806023531,0.0918562677130171,0.0013967179968818,0.1509050550120773,7
14,Oriente,0.0177868087877942,0.0344705225190046,0.2765043284798946,0.0024822648428816,0.1828079342648363,15
15,Bresser,0.0449174200794056,0.0028550906976494,0.1402514569561657,0.002734469771108,0.1975768538340188,15
16,Brás,0.0645857547621907,0.0601742125537084,0.1829361336359858,0.0038747202212583,0.2277316049793421,15
17,Gasômetro,0.0372046431941425,0.0968328980744156,0.0926424477111169,0.0024634382778168,0.1987339131120571,7
18,Independência,0.1025526434932673,0.0661888182988975,0.2384100314109959,0.0090136620475274,0.3256997583092696,28
19,Cambuci,0.11050524819056,0.0807595005930285,0.1627817973647334,0.0049883293057508,0.3599528965890296,28
20,Glicério,0.1229299176588816,0.0635756298173099,0.0807475203741762,0.0038370670911287,0.4373041360495063,0
21,Aclimação,0.0996263465532676,0.0679168574598677,0.0958512953806662,0.0040359892880396,0.438609841479624,0
22,Pires da Mota,0.0726130206560547,0.0794004226393756,0.0833779207932609,0.001777156698474,0.4478169423960403,0
23,Centro Cultural,0.0284205069565095,0.5819260417825078,0.1772983227998847,0.00118074532595,0.3705154868258996,18
24,Liberdade,0.0608866425485343,0.9354286477029412,0.1781039261131332,0.00211319312397,0.3193677846773233,4
25,Treze de Maio,0.0980806134832592,0.0705552794960522,0.1201663018615001,0.0015221100245775,0.2956591954110851,28
26,Bexiga,0.0761202626570508,0.1506667215806207,0.1328199341238334,0.0018386094485912,0.3739765821674265,28
27,Bela Vista,0.0934700112477699,0.2273539329103895,0.4439247021443787,0.0033319467982584,0.637203416594651,30
28,São Carlos do Pinhal,0.0483340641037034,0.1569736231858861,0.2813917619910916,0.0011022421018119,0.4885334313015194,35
29,Masp,0.0706301794103633,0.0862809859732924,0.4494229447486452,0.0020343346816232,0.6006066658025363,30
30,Higienópolis,0.1036986251895392,0.0667806981792116,0.1839110587940251,0.0024087346736663,0.8218938489016251,10
31,Vila Buarque,0.1067847559256522,0.6525266765031581,0.2682266899744527,0.0031820447141576,0.4680964437789648,18
32,Consolação,0.0456049987140376,0.2655111784328162,0.4773918409470548,0.0020329138087881,0.5728075030131199,5
33,Pacaembu,0.0098021947307203,0.0095212390549158,0.0309420181449283,0.0032129486983206,0.7020944719774215,21
34,FAAP,0.0402748128081754,0.0957576920484894,0.0986206274952896,0.0026445995642893,1.0,10
35,Santa Cecília,0.213377660687907,0.1488848571179691,0.3542417689268908,0.0051183391701605,0.3488158083333415,33
36,Marechal Deodoro,0.2296987592468125,0.1936046266165623,0.3279151730091984,0.005051202928703,0.4558393502162565,13
37,Rudge,0.0245561289625146,0.0447557428751358,0.1882340617724362,0.0030097638829044,0.3457109512086552,28
38,Catumbi,0.020180053101961,0.0398148830831661,0.0507712224618252,0.0028928970922192,0.2531618999047013,27
39,Belém,0.049874460011148,0.0565833353055103,0.0885916049713817,0.0057087118331355,0.274255052460536,27
40,Quarta Parada,0.0419911369518706,0.1055526725263849,0.1747235062141545,0.0045254799797241,0.2236250015593402,15
41,Belenzinho,0.1175357284747869,0.1359000825337744,0.2415661729697953,0.0063978351581484,0.2355578261647574,16
42,Celso Garcia,0.0283991926995668,0.0067696573344382,0.0865435376421603,0.0022694891358286,0.2087723400722944,7
43,Mooca,0.149021133892799,0.6652585104101859,0.23447537424361,0.0096544756961477,0.3635570905726749,18
44,Alto da Mooca,0.0978087560727621,0.0714968828971498,0.178562571102902,0.0050316659272207,0.3489323845267252,28
45,Parque da Mooca,0.1773403427950982,0.1003299135491158,0.3313634664654045,0.0135487329188884,0.3374492383420164,33
46,Água Rasa,0.193325529336336,0.1703398339412675,0.1641084453879876,0.0112181462511513,0.2839053363954203,24
47,Vila Bertioga,0.122610110446508,0.0360722459809033,0.1185301251914889,0.0069367011808518,0.2972680820207468,28
48,Regente Feijó,0.1275191891642661,0.1020032382407212,0.1471385791778403,0.0072450305860638,0.2817373978688609,28
49,Ana Rosa,0.0713497492362676,0.108756508537254,0.1980272617379354,0.0033553912000372,0.5036676706460361,35
50,Jardim da Glória,0.0474172672441652,0.0290521854070251,0.0182611474755593,0.0031411946201491,0.3474236164496512,27
51,Chácara Klabin,0.0857358895359619,0.0455200923148393,0.0709115696620996,0.0034658640629645,0.6722915314619998,21
52,Vila Mariana,0.0540746681070419,0.1366677924748003,0.1458417247276061,0.0021174557424753,0.8333800042924346,10
53,Santa Cruz,0.0708540528959429,0.1593384196960278,0.2281401987880688,0.0038548280015672,0.4963690256367746,35
54,Vila Clementino,0.046452499959696,0.0753485883153057,0.2941784688347167,0.0033283946161707,0.493834096941846,35
55,França Pinto,0.0827136938177635,0.1867556178538789,0.1551583259402203,0.0039834169931418,0.4362162670293301,13
56,Rodrigues Alves,0.115222440091319,0.173974228950628,0.2191426421504021,0.0036782845518087,0.5786639318406303,35
57,Paraíso,0.1297045642220321,0.0834822067145008,0.4467963068126171,0.0034200409140332,0.6161869806342677,30
58,Bosque da Saúde,0.1640575615275704,0.0584175908119198,0.1625830464873198,0.0060355125852035,0.4169826784659808,28
59,Saúde,0.2811402685496473,0.2792120896032332,0.3132467338052873,0.0092644461029187,0.4592600267658319,13
60,Planalto Paulista,0.1175784116231095,0.0748102864010865,0.152290908927925,0.0114259489032815,0.5161424863393753,0
61,Mirandópolis,0.1497779621765469,0.2365971405336961,0.1854138214254584,0.0061612598311079,0.4990233857131976,13
