Zona ,Nome,População,Escolares,Empregos,Área (ha),Per Capita,cluster
1,Sé,0.0207,0.112,0.7111,0.00274572561209,0.2159,1
2,Parque Dom Pedro,0.0361,0.0252,0.5132,0.0054645229169511,0.2393,1
3,Praça João Mendes,0.1085,0.0422,0.1836,0.0022961190538931,0.3045,1
4,Ladeira da Memória,0.1526,0.0198,0.2232,0.0036117592070767,0.5103,0
5,República,0.0947,0.0304,0.8856,0.0036040654050113,0.4287,0
6,Santa Ifigênia,0.1393,0.0359,0.3798,0.0039877937830232,0.2149,1
7,Luz,0.1153,0.1209,0.3469,0.0074341362456938,0.276,1
8,Bom Retiro,0.0776,0.0577,0.1492,0.0068768164585813,0.2114,1
9,Ponte Pequena,0.0472,0.1128,0.1632,0.0062406352002985,0.1929,1
10,Canindé,0.0103,0.124,0.0664,0.0039724061788924,0.1189,1
11,Bom Jardim,0.0172,0.0259,0.0386,0.0023971002060015,0.2238,1
12,Pari,0.0911,0.0339,0.2085,0.0067397706092914,0.2163,1
13,João Teodoro,0.0091,0.0047,0.0919,0.0018907518575723,0.1509,1
14,Oriente,0.0211,0.0345,0.2765,0.0033602680520639,0.1828,1
15,Bresser,0.0534,0.0029,0.1403,0.0037016805187161,0.1976,1
16,Brás,0.0767,0.0602,0.1829,0.0052452495580872,0.2277,1
17,Gasômetro,0.0442,0.0968,0.0926,0.0033347823327223,0.1987,1
18,Independência,0.1218,0.0662,0.2384,0.0122018892130971,0.3257,1
19,Cambuci,0.1313,0.0808,0.1628,0.0067527539002767,0.36,1
20,Glicério,0.1461,0.0636,0.0807,0.0051942781194039,0.4373,0
21,Aclimação,0.1184,0.0679,0.0959,0.005463561191693,0.4386,0
22,Pires da Mota,0.0863,0.0794,0.0834,0.0024057557333251,0.4478,0
23,Centro Cultural,0.0338,0.5819,0.1773,0.001598387379087,0.3705,4
24,Liberdade,0.0723,0.9354,0.1781,0.0028606517804419,0.3194,4
25,Treze de Maio,0.1165,0.0706,0.1202,0.0020604963656402,0.2957,1
26,Bexiga,0.0904,0.1507,0.1328,0.0024889449681572,0.374,1
27,Bela Vista,0.1111,0.2274,0.4439,0.0045104914608414,0.6372,0
28,São Carlos do Pinhal,0.0574,0.157,0.2814,0.0014921167380587,0.4885,0
29,Masp,0.0839,0.0863,0.4494,0.0027539002767845,0.6006,0
30,Higienópolis,0.1232,0.0668,0.1839,0.0032607294878428,0.8219,0
31,Vila Buarque,0.1269,0.6525,0.2682,0.0043075674313664,0.4681,4
32,Consolação,0.0542,0.2655,0.4774,0.0027519768262681,0.5728,0
33,Pacaembu,0.0116,0.0095,0.0309,0.004349402480097,0.7021,0
34,FAAP,0.0479,0.0958,0.0986,0.0035800222735569,1.0,0
35,Santa Cecília,0.2535,0.1489,0.3542,0.0069287496225228,0.3488,3
36,Marechal Deodoro,0.2729,0.1936,0.3279,0.0068378665856252,0.4558,0
37,Rudge,0.0292,0.0448,0.1882,0.004074349056259,0.3457,1
38,Catumbi,0.024,0.0398,0.0508,0.0039161452512891,0.2532,1
39,Belém,0.0593,0.0566,0.0886,0.0077279433120663,0.2743,1
40,Quarta Parada,0.0499,0.1056,0.1747,0.0061261898945756,0.2236,1
