od_id,od_nome,od_area,od_ano,od_municip,area,perimeter,geometry,d_m_1995,d_m_1996,d_m_1997,d_m_1998,d_m_1999,d_m_2000,d_m_2001,d_m_2002,d_m_2003,d_m_2004,d_m_2005,d_m_2006,d_m_2007,d_m_2008,d_m_2009,d_m_2010,d_m_2011,d_m_2012,d_m_2013,d_m_2014,d_m_2015,d_m_2016,d_m_2017,d_m_2018,d_m_2019
299,Marsilac,20795.96,2017,36,206580110.7265625,85136.2372469023,POINT (326174.9658765211 7351918.495185227),36758.90615707484,36758.90615707484,36758.90615707484,36758.90615707484,36758.90615707484,36758.90615707484,36758.90615707484,36758.90615707484,32762.82669418995,32762.82669418995,32762.82669418995,32762.82669418995,32762.82669418995,32762.82669418995,32762.82669418995,32762.82669418995,32762.82669418995,32762.82669418995,32762.82669418995,32762.82669418995,32349.981351937655,32349.981351937655,32349.981351937655,32066.170070099888,32066.170070099888
298,Parelheiros,11667.08,2017,36,116216829.42407227,65807.6030106923,POINT (326540.780140683 7361756.147632605),27058.485949634174,27058.485949634174,27058.485949634174,27058.485949634174,27058.485949634174,27058.485949634174,27058.485949634174,27058.485949634174,23097.452823320862,23097.452823320862,23097.452823320862,23097.452823320862,23097.452823320862,23097.452823320862,23097.452823320862,23097.452823320862,23097.452823320862,23097.452823320862,23097.452823320862,23097.452823320862,22670.640361139296,22670.640361139296,22670.640361139296,22356.001581041757,22356.001581041757
295,Belmira Marin,1236.83,2017,36,12339648.813720703,17614.653983472766,POINT (328928.87749747356 7370240.793577932),18254.53026133603,18254.53026133603,18254.53026133603,18254.53026133603,18254.53026133603,18254.53026133603,18254.53026133603,18254.53026133603,15157.10796537489,15157.10796537489,15157.10796537489,15157.10796537489,15157.10796537489,15157.10796537489,15157.10796537489,15157.10796537489,15157.10796537489,15157.10796537489,15157.10796537489,15157.10796537489,14789.781408975105,14789.781408975105,14789.781408975105,14514.709236788685,14514.709236788685
292,Vila Natal,415.09,2017,36,4141388.537109375,10416.324299749958,POINT (326395.1737669587 7371072.903865544),18192.096491920314,18192.096491920314,18192.096491920314,18192.096491920314,18192.096491920314,18192.096491920314,18192.096491920314,18192.096491920314,14158.400166836564,14158.400166836564,14158.400166836564,14158.400166836564,14158.400166836564,14158.400166836564,14158.400166836564,14158.400166836564,14158.400166836564,14158.400166836564,14158.400166836564,14158.400166836564,13684.546070682985,13684.546070682985,13684.546070682985,13270.52589115137,13270.52589115137
291,Jardim Presidente,762.54,2017,36,7607921.472167969,19117.257683732998,POINT (325479.967254408 7372896.559884261),16890.759485156297,16890.759485156297,16890.759485156297,16890.759485156297,16890.759485156297,16890.759485156297,16890.759485156297,16890.759485156297,12483.496841888093,12483.496841888093,12483.496841888093,12483.496841888093,12483.496841888093,12483.496841888093,12483.496841888093,12483.496841888093,12483.496841888093,12483.496841888093,12483.496841888093,12483.496841888093,11957.774788092753,11957.774788092753,11957.774788092753,11443.203618698175,11443.203618698175
293,Grajaú,540.70,2017,36,5394521.5615234375,12507.522793836375,POINT (327892.4960951932 7373316.122825075),15573.421228056646,15573.421228056646,15573.421228056646,15573.421228056646,15573.421228056646,15573.421228056646,15573.421228056646,15573.421228056646,12197.636394249956,12197.636394249956,12197.636394249956,12197.636394249956,12197.636394249956,12197.636394249956,12197.636394249956,12197.636394249956,12197.636394249956,12197.636394249956,12197.636394249956,12197.636394249956,11775.827579327386,11775.827579327386,11775.827579327386,11445.858731530612,11445.858731530612
290,SESC Interlagos,736.48,2017,36,7347713.6513671875,11510.078198619954,POINT (328728.2584018567 7375984.596230634),12781.480237573362,12781.480237573362,12781.480237573362,12781.480237573362,12781.480237573362,12781.480237573362,12781.480237573362,12781.480237573362,10019.259595288551,10019.259595288551,10019.259595288551,10019.259595288551,10019.259595288551,10019.259595288551,10019.259595288551,10019.259595288551,10019.259595288551,10019.259595288551,10019.259595288551,10019.259595288551,9637.113910569471,9637.113910569471,9637.113910569471,9149.39724874823,9149.39724874823
289,Rio Bonito,495.82,2017,36,4946714.855957031,12051.327044301108,POINT (327048.58930758905 7376912.885332199),12611.479824568683,12611.479824568683,12611.479824568683,12611.479824568683,12611.479824568683,12611.479824568683,12611.479824568683,12611.479824568683,8983.703087120519,8983.703087120519,8983.703087120519,8983.703087120519,8983.703087120519,8983.703087120519,8983.703087120519,8983.703087120519,8983.703087120519,8983.703087120519,8983.703087120519,8983.703087120519,8487.105266386334,8487.105266386334,8487.105266386334,7994.878589972162,7994.878589972162
287,Parque Interlagos,935.66,2017,36,9335157.63256836,13498.378617450002,POINT (325285.5364999746 7378936.064471067),11944.061828285337,11944.061828285337,11944.061828285337,11944.061828285337,11944.061828285337,11944.061828285337,11944.061828285337,11944.061828285337,7312.512404742529,7312.512404742529,7312.512404742529,7312.512404742529,7312.512404742529,7312.512404742529,7312.512404742529,7312.512404742529,7312.512404742529,7312.512404742529,7312.512404742529,7312.512404742529,6677.65030976625,6677.65030976625,6677.65030976625,5784.671208970083,5784.671208970083
283,Vila Sabará,234.56,2017,36,2340200.0981445312,6519.66439852669,POINT (328055.5223435007 7379143.211670234),10183.19983908682,10183.19983908682,10183.19983908682,10183.19983908682,10183.19983908682,10183.19983908682,10183.19983908682,10183.19983908682,7422.710525518451,7422.710525518451,7422.710525518451,7422.710525518451,7422.710525518451,7422.710525518451,7422.710525518451,7422.710525518451,7422.710525518451,7422.710525518451,7422.710525518451,7422.710525518451,6978.450735589404,6978.450735589404,6978.450735589404,6232.659040681523,6232.659040681523
297,Jaceguava,3512.69,2017,36,34939037.55834961,37564.54838514099,POINT (320571.6947646226 7369378.297422626),22393.609864200447,22393.609864200447,22393.609864200447,22393.609864200447,22393.609864200447,22393.609864200447,22393.609864200447,22393.609864200447,16674.402334095776,16674.402334095776,16674.402334095776,16674.402334095776,16674.402334095776,16674.402334095776,16674.402334095776,16674.402334095776,16674.402334095776,16674.402334095776,16674.402334095776,16674.402334095776,16051.021492128659,16051.021492128659,16051.021492128659,15275.138574420731,15275.138574420731
307,Jardim Capela,2022.05,2017,36,20141773.97998047,22811.25126313117,POINT (320193.5548436467 7374418.924921965),18676.277312187445,18676.277312187445,18676.277312187445,18676.277312187445,18676.277312187445,18676.277312187445,18676.277312187445,18676.277312187445,12403.464757809343,12403.464757809343,12403.464757809343,12403.464757809343,12403.464757809343,12403.464757809343,12403.464757809343,12403.464757809343,12403.464757809343,12403.464757809343,12403.464757809343,12403.464757809343,11713.414924517276,11713.414924517276,11713.414924517276,10675.81815079291,10675.81815079291
288,Jardim Represa,783.73,2017,36,7819318.324462891,16211.149882588139,POINT (325024.5806122449 7375232.325718539),15074.724049761659,15074.724049761659,15074.724049761659,15074.724049761659,15074.724049761659,15074.724049761659,15074.724049761659,15074.724049761659,10408.308781949814,10408.308781949814,10408.308781949814,10408.308781949814,10408.308781949814,10408.308781949814,10408.308781949814,10408.308781949814,10408.308781949814,10408.308781949814,10408.308781949814,10408.308781949814,9834.00058351669,9834.00058351669,9834.00058351669,9176.433289583096,9176.433289583096
308,Riviera,798.79,2017,36,7963956.6396484375,15696.586938684834,POINT (319169.15762532275 7377019.66706428),17674.010088654486,17674.010088654486,17674.010088654486,17674.010088654486,17674.010088654486,17674.010088654486,17674.010088654486,17674.010088654486,10880.082339676408,10880.082339676408,10880.082339676408,10880.082339676408,10880.082339676408,10880.082339676408,10880.082339676408,10880.082339676408,10880.082339676408,10834.695743720242,10834.695743720242,10834.695743720242,10149.68650072921,10149.68650072921,10149.68650072921,8902.96048843924,8902.96048843924
306,Guarapiranga,1513.25,2017,36,15098037.892089844,18203.48275668158,POINT (322819.60808725125 7378268.870175571),14115.334546874245,14115.334546874245,14115.334546874245,14115.334546874245,14115.334546874245,14115.334546874245,14115.334546874245,14115.334546874245,8251.909254438238,8251.909254438238,8251.909254438238,8251.909254438238,8251.909254438238,8251.909254438238,8251.909254438238,8251.909254438238,8251.909254438238,8251.909254438238,8251.909254438238,8251.909254438238,7551.2219289707455,7551.2219289707455,7551.2219289707455,6446.0275506329,6446.0275506329
311,Jardim Ângela,463.77,2017,36,4627248.348876953,11027.13011315646,POINT (320389.736678549 7379470.379116291),15255.46988041665,15255.46988041665,15255.46988041665,15255.46988041665,15253.336735904324,15253.336735904324,15253.336735904324,15253.336735904324,8424.583649836679,8424.583649836679,8424.583649836679,8424.583649836679,8424.583649836679,8424.583649836679,8424.583649836679,8424.583649836679,8424.583649836679,8344.171293066118,8344.171293066118,8344.171293066118,7655.793396958371,7655.793396958371,7655.793396958371,6335.087533245122,6335.087533245122
310,Morro do Índio,114.64,2017,36,1143843.0153808594,5090.779272524382,POINT (319014.83558312076 7379599.029932124),16332.534814292812,16332.534814292812,16332.534814292812,16332.534814292812,16293.06514469822,16293.06514469822,16293.06514469822,16293.06514469822,9237.780019206952,9237.780019206952,9237.780019206952,9237.780019206952,9237.780019206952,9237.780019206952,9237.780019206952,9237.780019206952,9211.933077626261,9074.704319725093,9074.704319725093,9074.704319725093,8397.73087643742,8397.73087643742,8397.73087643742,7088.72664629106,7088.72664629106
313,Jardim Sônia Ingá,105.38,2017,36,1051414.0786132812,4483.75506479185,POINT (319606.46363620355 7380749.526535411),15248.619377315907,15248.619377315907,15248.619377315907,15248.619377315907,15196.584427504033,15196.584427504033,15196.584427504033,15196.584427504033,8137.334879640233,8137.334879640233,8137.334879640233,8137.334879640233,8137.334879640233,8137.334879640233,8137.334879640233,8137.334879640233,8087.51416805316,7922.117008225471,7922.117008225471,7922.117008225471,7268.143569428206,7268.143569428206,7268.143569428206,5940.962113451206,5940.962113451206
286,Vila Socorro,293.26,2017,36,2925833.7768554688,8110.495452690882,POINT (325052.2492857214 7381408.491802943),10401.53139406356,10401.53139406356,10401.53139406356,10401.53139406356,10401.53139406356,10401.53139406356,10401.53139406356,10401.53139406356,5623.725821918534,5623.725821918534,5623.725821918534,5623.725821918534,5623.725821918534,5623.725821918534,5623.725821918534,5623.725821918534,5623.725821918534,5623.725821918534,5623.725821918534,5623.725821918534,4909.838291242479,4909.838291242479,4909.838291242479,3705.9256405578717,3705.9256405578717
305,Centro Empresarial,675.29,2017,36,6737537.790283203,12879.890046332523,POINT (322521.0092682106 7382002.136536235),12141.586202891707,12141.586202891707,12141.586202891707,12141.586202891707,12141.586202891707,12141.586202891707,12141.586202891707,12141.586202891707,5866.004372760275,5866.004372760275,5866.004372760275,5866.004372760275,5866.004372760275,5866.004372760275,5866.004372760275,5866.004372760275,5866.004372760275,5783.61991632191,5783.61991632191,5783.61991632191,5087.795024981695,5087.795024981695,5087.795024981695,3674.6032533076564,3674.6032533076564
309,Jardim Turquesa,282.87,2017,36,2820237.6232910156,10028.080537567983,POINT (317767.9779677125 7378205.622934021),18116.391538435546,18116.391538435546,18116.391538435546,18116.391538435546,18073.418879021687,18073.418879021687,18073.418879021687,18073.418879021687,11005.01246288409,11005.01246288409,11005.01246288409,11005.01246288409,11005.01246288409,11005.01246288409,11005.01246288409,11005.01246288409,10986.476321000855,10855.309564017753,10855.309564017753,10855.309564017753,10173.493841530468,10173.493841530468,10173.493841530468,8895.044616828407,8895.044616828407
314,Adventista,545.26,2017,36,5398973.344238281,14032.72581019666,POINT (318012.68442009244 7380342.358296921),16815.671176539654,16815.671176539654,16815.671176539654,16815.671176539654,16697.922157290333,16697.922157290333,16697.922157290333,16697.922157290333,9611.948902918752,9611.948902918752,9611.948902918752,9611.948902918752,9611.948902918752,9611.948902918752,9611.948902918752,9611.948902918752,9524.020600496662,9304.837571844304,9304.837571844304,9304.837571844304,8651.937105352463,8651.937105352463,8651.937105352463,7402.500976918664,7402.500976918664
